n,a_n,b_n,c_n,k_n,u_n,g_n,q_n,f_n,s_n,w_n
1,0.1538326,1,0,0,0.0,0,0,0,0,0
2,1.341953,1,0,0,0.5,0,0,0,0,0
3,-2.998583,1,0,0,1.0,0,0,0,0,0
4,-0.04831228,1,0,0,3.5,0,0,0,0,0
5,0.3757965,1,0,0,-0.5,1,0,0,0,0
6,-1.589575,1,0,0,4.5,1,0,0,0,0
7,-0.05358847,1,0,0,0.5,0,1,0,0,0
8,0.88659463,1,0,0,7.5,0,0,0,1,0
9,-0.71023704,1,0,0,9.5,0,0,0,1,0
10,-1.471722,1,0,0,6.0,0,0,0,0,1
11,1.32185035,1,0,0,12.0,0,0,0,0,1
12,-0.78665925,1,0,0,12.5,0,0,0,0,1
13,2.29129E-09,1,1,3,-6.0,0,0,1,0,0
14,0.1576724,1,1,2,2.0,0,0,0,0,0
15,-0.4363864,1,1,2,3.0,0,0,0,0,0
16,-0.04408159,1,1,2,2.0,0,1,0,0,0
17,-0.003433888,1,1,4,2.0,0,0,0,0,0
18,0.03205905,1,1,4,11.0,0,0,0,0,0
19,0.02487355,2,0,0,-0.5,0,0,0,0,0
20,0.07332279,2,0,0,0.5,0,0,0,0,0
21,-0.001600573,2,1,2,0.0,0,0,0,0,0
22,0.6424706,2,1,2,4.0,0,0,0,0,0
23,-0.4162601,2,1,2,6.0,0,0,0,0,0
24,-0.06689957,2,1,4,21.0,0,0,0,0,0
25,0.2791795,2,1,4,23.0,1,0,0,0,0
26,-0.6966051,2,1,4,22.0,0,1,0,0,0
27,-0.002860589,2,1,4,-1.0,0,0,1,0,0
28,-0.008098836,3,0,0,-0.5,0,1,0,0,0
29,3.150547,3,1,1,7.0,1,0,0,0,0
30,0.007224479,3,1,1,-1.0,0,0,1,0,0
31,-0.7057529,3,1,2,6.0,0,0,0,0,0
32,0.5349792,3,1,2,4.0,1,0,0,0,0
33,-0.07931491,3,1,3,1.0,1,0,0,0,0
34,-1.418465,3,1,3,9.0,1,0,0,0,0
35,-5.99905E-17,3,1,4,-13.0,0,0,1,0,0
36,0.1058402,3,1,4,21.0,0,0,0,0,0
37,0.03431729,3,1,4,8.0,0,1,0,0,0
38,-0.007022847,4,0,0,-0.5,0,0,0,0,0
39,0.02495587,4,0,0,0.0,0,0,0,0,0
40,0.04296818,4,1,2,2.0,0,0,0,0,0
41,0.7465453,4,1,2,7.0,0,0,0,0,0
42,-0.2919613,4,1,2,9.0,0,1,0,0,0
43,7.294616,4,1,4,22.0,0,0,0,0,0
44,-9.936757,4,1,4,23.0,0,0,0,0,0
45,-0.005399808,5,0,0,1.0,0,0,0,0,0
46,-0.2432567,5,1,2,9.0,0,0,0,0,0
47,0.04987016,5,1,2,3.0,0,1,0,0,0
48,0.003733797,5,1,4,8.0,0,0,0,0,0
49,1.874951,5,1,4,23.0,0,1,0,0,0
50,0.002168144,6,0,0,1.5,0,0,0,0,0
51,-0.6587164,6,1,2,5.0,1,0,0,0,0
52,0.000205518,7,0,0,-0.5,0,1,0,0,0
53,0.009776195,7,1,2,4.0,0,0,0,0,0
54,-0.02048708,8,1,1,7.0,1,0,0,0,0
55,0.01557322,8,1,2,3.0,0,0,0,0,0
56,0.006862415,8,1,2,0.0,1,0,0,0,0
57,-0.001226752,9,1,2,1.0,0,0,0,0,0
58,0.002850908,9,1,2,0.0,0,1,0,0,0
