gas;H2;H2_1;H2_2;H2_3;H2_4;H2_5;H2_6;CH4;CH4_1;CH4_2;CH4_3;CH4_4;CH4_5;CH4_6
"CH4";NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;1;1;1;1;1;1
"C2H6";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
"C3H8";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
"n_C4H10";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
"iso_C4H10";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
"n_C5H12";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
"iso_C5H12";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
"neo_C5H12";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
"C6H14";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
"CO";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
"H2";1;1;1;1;1;1;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN
"H2S";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
"N2";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
"CO2";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN
"T";263.15;273.15;293.15;313.15;333.15;353.15;373.15;263.15;273.15;293.15;313.15;333.15;353.15;373.15
"p_barg";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"eta__myPas";8.14;8.44;8.73;9.22;9.61;10.01;10.3;10;10.2;10.99;11.58;12.26;12.85;13.34
