gas;H_Gas_Russia_DVGW;H_Gas_NorthSea_DVGW;H_Gas_Denmark_DVGW;L_Gas_Holland_DVGW;L_Gas_Germany_DVGW;H_Gas_NorthSea;H_Gas_Mix;H_Gas_Russia;H_Gas_Holland;H_Gas_GERG2008;L_Gas_Verbund;L_Gas_WeserEms;TENP_North;TENP_South;NL_L_gas;Gas1_ISO12213_2;Gas2_ISO12213_2;Gas3_ISO12213_2;Gas5_ISO12213_2;H_Gas_Russ_MIS15;H_Gas_NorthSea_MIS15;H_Gas_Mix_MIS15
"CH4";0.9696;0.8871;0.9007;0.8364;0.8646;0.9047;0.9107;0.9638;0.8439;0.9207;0.8432;0.8442;0.9174;0.9256;0.84343;0.965;0.907;0.859;0.812;0.9809;0.869;0.8752
"C2H6";0.0137;0.0693;0.0568;0.0356;0.0106;0.0603;0.0552;0.0271;0.036;0.0463;0.0363;0.0358;0.0497;0.0452;0.03874;0.018;0.045;0.085;0.043;0.0066;0.0803;0.073
"C3H8";0.0045;0.0125;0.0219;0.0061;0.0011;0.0054;0.0052;0.0012;0.0054;0.0035;0.0056;0.0053;0.0071;0.0064;0.00512;0.0045;0.0084;0.023;0.009;0.0022;0.0191;0.0117
"n_C4H10";0.0015;0.0028;0.009;0.0019;0.0003;0.0006;0.0007;0.0002;0.0009;0.0004;0.001;0.001;0.001;0.001;0.00089;0.001;0.0015;0.0035;0.0015;0.0008;0.005;0.003
"iso_C4H10";0;0;0;0;0;0.0008;0.0008;0.0004;0.0009;0.0003;0.001;0.0009;0.0013;0.0011;0.00085;0.001;0.001;0.0035;0.0015;0;0;0
"n_C5H12";0.0002;0.0005;0.0022;0.0004;0.0001;0.0001;0.0001;0;0.0002;0;0.0002;0.0002;0.0002;0.0002;0.00021;0.0003;0.0004;0.0005;0;0.0002;0.0008;0.0005
"iso_C5H12";0;0;0;0;0;0.0002;0.0002;0;0.0003;0.0001;0.0003;0.0003;0.0003;0.0003;0.00026;0.0005;0.0003;0.0005;0;0;0;0
"neo_C5H12";0;0;0;0;0;0;0;0;0.0001;0;0;0.0001;0;0;0;0;0;0;0;0;0;0
"C6H14";0.0001;0.0002;0.0006;0.0007;0.0001;0.0002;0.0002;0.0001;0.0005;0;0.0006;0.0005;0.0003;0.0003;0.00052;0.0007;0.0004;0;0;0.0001;0.0005;0.0005
"CO";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"H2S";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"N2";0.0086;0.0082;0.0028;0.1021;0.1024;0.0087;0.0101;0.0035;0.0978;0.009;0.0976;0.0978;0.0094;0.0087;0.09494;0.003;0.031;0.01;0.057;0.0084;0.0105;0.0217
"CO2";0.0018;0.0194;0.006;0.0168;0.0208;0.019;0.0168;0.0037;0.014;0.0197;0.0142;0.0139;0.0133;0.0112;0.01504;0.006;0.005;0.015;0.076;0.0008;0.0148;0.0144
