gas;M;V_m_n;rho_n;Z_n;sum_factor;sum_factor_15C;sum_factor_15_55C;sum_factor_20C;p_c;T_c;V_m_c;Z_c;a_HEI;b_HEI;c_HEI;d_HEI;a_AGA;b_AGA;c_AGA;d_AGA;e_AGA;A_VDI;B_VDI;C_VDI;D_VDI;E_VDI;F_VDI;G_VDI;C_s;eta_n;H_s_n;H_i_n;omega;my_dp
"CH4";0.016043;0.02236;0.717486583184258;0.9976;0.04886;0.04452;0.04437;0.04317;4599000;190.56;9.86e-05;0.286;17.451;0.060459;1.117e-06;-7.205e-09;38.4;-0.071167;0.000276271;-2.39227e-07;6.85813e-11;1530.8043;4.2038;-16.615;-3.5668;43.0563;-86.5507;65.5986;164;1.02e-05;39831000;35894000;0.011;0
"C2H6";0.03007;0.02219;1.35511491662911;0.99;0.0997;0.0919;0.0916;0.0895;4872000;305.32;0.0001455;0.279;5.351;0.177669;-6.8701e-05;8.514e-09;33.346;-0.011337;0.000357723;-3.77692e-07;1.203991e-10;903.4113;4.4815;11.6905;8.4792;-77.0215;122.9766;-74.06;252;8.6e-06;70333000;64382000;0.099;0
"C3H8";0.044097;0.021941;2.00979900642633;0.9789;0.1465;0.1344;0.134;0.1308;4248000;369.83;0.0002;0.276;-5.058;0.308503;-0.000161779;3.3309e-08;31.866;0.062503;0.000386796;-4.61257e-07;1.54348e-10;1089.3798;4.7246;-1.1767;3.7776;129.3687;-281.4223;216.9425;278;7.5e-06;101142000;93118000;0.153;0
"n_C4H10";0.058123;0.021455;2.70906548590072;0.9572;0.2022;0.184;0.1834;0.1785;3796000;425.12;0.000255;0.274;-0.05;0.387045;-0.000200824;4.061e-08;23.987;0.235817;0.000122573;-2.38507e-07;8.37958e-11;668.6492;8.9081;14.2467;41.0466;-258.183;411.8238;-258.688;358;6.9e-06;134115000;123857000;0.199;0
"iso_C4H10";0.058123;0.021473;2.70679457923904;0.958;0.1885;0.1722;0.1717;0.1673;3640000;407.85;0.0002627;0.278;-0.05;0.387045;-0.000200824;4.061e-08;11.36;0.293305;3.4115e-05;-1.79627e-07;6.93433e-11;668.6492;8.9081;14.2467;41.0466;-258.183;411.8238;-258.688;330;6.9e-06;133574000;122325000;0.183;0.1
"n_C5H12";0.07215;0.02058;3.50583090379009;0.918;0.2586;0.2361;0.2354;0.2295;3370000;469.7;0.000311;0.268;0.414;0.480298;-0.000255002;5.2815e-08;-0.844;0.478571;-0.000253357;5.7618e-08;-3.126e-12;789.3078;10.6168;0.9888;-24.2821;191.4972;-315.5929;203.9787;383;6.2e-06;171840000;159000000;0.251;0
"iso_C5H12";0.07215;0.02058;3.50583090379009;0.918;0.2458;0.2251;0.2244;0.2189;3370000;469.7;0.000311;0.268;0.414;0.480298;-0.000255002;5.2815e-08;-9.517;0.510989;-0.000288577;7.2572e-08;-4.6749e-12;789.3078;10.6168;0.9888;-24.2821;191.4972;-315.5929;203.9787;383;6.2e-06;167530000;154990000;0.227;0.1
"neo_C5H12";0.07215;0.02058;3.50583090379009;0.918;0.2245;0.204;0.2033;0.1979;3370000;469.7;0.000311;0.268;0.414;0.480298;-0.000255002;5.2815e-08;1.321;0.442023;-8.1175e-05;-1.53236e-07;7.42833e-11;789.3078;10.6168;0.9888;-24.2821;191.4972;-315.5929;203.9787;383;6.2e-06;166430000;153930000;0.197;0
"C6H14";0.086177;0.01999;4.31100550275138;0.892;0.3319;0.3001;0.299;0.2907;3025000;507.6;0.000368;0.264;1.79;0.570497;-0.000306009;6.3994e-08;82.663;-0.10595;0.001587924;-2.123729e-06;8.99179e-10;752.9844;13.4279;1.5402;-29.6772;208.3733;-342.0902;217.4263;436;5.9e-06;209820000;194410000;0.299;0
"H2";0.0020159;0.022428;0.0898831817371143;1.0006;-0.01;-0.01;-0.01;-0.01;1293000;32.98;6.42e-05;0.303;29.066;-0.000837;2.012e-06;0;27.007;0.011935;-2.4076e-05;2.1464e-08;-6.1487e-12;392.8422;2.4906;-3.6262;-1.9624;35.6197;-81.3691;62.6668;72;8.44e-06;12745000;10782000;-0.217;0
"H2S";0.034082;0.02219;1.53591707976566;0.99;0.1006;0;0;0;8937000;373.25;9.85028901734104e-05;0.283665637557992;28.719;0.016117;3.284e-06;-2.653e-09;0;0;0;0;0;11132.4648;4.0398;2.7018;-8.5655;67.3144;-72.9692;42.8369;331;1.168e-05;25327000;23343000;0.09;0.9
"N2";0.0280134;0.0224049;1.25032470575633;0.9995;0.0214;0.017;0.0169;0.0156;3398000;126.2;9.01e-05;0.289;27.296;0.00523;-4e-09;0;29.932;-0.007513;1.8116e-05;-8.811e-09;9.784e-13;432.2027;3.516;2.8021;-4.1924;42.0153;-114.25;111.1019;102;1.658e-05;0;0;0.039;0
"CO2";0.0440095;0.0222569;1.97734185803054;0.9933;0.0821;0.0752;0.0749;0.073;7374000;304.12;9.407e-05;0.274;21.556;0.063697;-4.0505e-05;9.678e-09;21.085;0.067085;-4.7451e-05;1.4918e-08;1.2708e-12;514.5073;3.4923;-0.9306;-6.0861;54.1586;-97.5157;70.9687;273;1.383e-05;0;0;0.239;0
