name;height_m;in_service;type;p_i__barg;T_i;T_source;bus_ID;slack_bus;m_dot_i__kg_per_s;demand_m3_per_a;sink_name;sink_scaling;sink_type;sink_profile_id;x_coord;y_coord;source_bus;T_i_source
"K1030";149.28;"true";"junction";1;283.15;283.15;0;0;0;0;NaN;0;NaN;NaN;3417460.371;5369562.073;0;0
"K1035";149.06;"true";"junction";1;283.15;283.15;1;0;0;0;NaN;0;NaN;NaN;3416885.436;5369518.937;0;0
"K1037";148.6;"true";"junction";1;283.15;283.15;2;0;0;0;NaN;0;NaN;NaN;3417039.412;5369474.421;0;0
"K1038";148.87;"true";"junction";1;283.15;283.15;3;0;0;0;NaN;0;NaN;NaN;3417112.678;5369417.661;0;0
"K1232";149.08;"true";"junction";1;283.15;283.15;4;0;0;0;NaN;0;NaN;NaN;3417217.733;5369388.006;0;0
"K1043";149.57;"true";"junction";1;283.15;283.15;5;0;0;0;NaN;0;NaN;NaN;3417564.165;5369304.558;0;0
"K1045";149.59;"true";"junction";1;283.15;283.15;6;0;0;0;NaN;0;NaN;NaN;3417547.516;5369226.981;0;0
"K1151";149.3;"true";"junction";1;283.15;283.15;7;0;0;0;NaN;0;NaN;NaN;3417511.085;5369054.002;0;0
"K1048";148.85;"true";"junction";1;283.15;283.15;8;0;0;0;NaN;0;NaN;NaN;3417398.618;5369067.749;0;0
"K1049";148.86;"true";"junction";1;283.15;283.15;9;0;0;0;NaN;0;NaN;NaN;3417392.808;5369119.281;0;0
"K1050";148.99;"true";"junction";1;283.15;283.15;10;0;0;0;NaN;0;NaN;NaN;3417371.967;5369190.201;0;0
"K1052";148.59;"true";"junction";1;283.15;283.15;11;0;0;0;NaN;0;NaN;NaN;3417263.408;5369096.962;0;0
"K1053";148.81;"true";"junction";1;283.15;283.15;12;0;0;0;NaN;0;NaN;NaN;3417336.297;5369069.668;0;0
"K1044";149.57;"true";"junction";1;283.15;283.15;13;0;0;0;NaN;0;NaN;NaN;3417551.358;5369305.523;0;0
"K1027";149.86;"true";"junction";1;283.15;283.15;14;0;0;0;NaN;0;NaN;NaN;3417430.413;5369324.541;0;0
"K1057";148.99;"true";"junction";1;283.15;283.15;15;0;0;0;NaN;0;NaN;NaN;3417153.808;5369249.178;0;0
